id,initial,match,type
4750,Pascagoula Refinery,pascagoula,refname
4751,Joliet Refinery,joliet,refname
4752,Saraland Refinery,saraland,refname
4753,Lemont Refinery,lemont,refname
4754,Puerto Cortes Texaco Refinery,puerto cortes texaco,refname
4754,Puerto Cortes Texaco Refinery,puertocortestexaco,refname
4754,Puerto Cortes Texaco Refinery,puertocortes,refname
4755,Countrymark Refinery (Mount Vernon),countrymark,refname
4756,Robinson Refinery,robinson,refname
4757,Tuscaloosa Refinery,tuscaloosa,refname
4758,Whiting Refinery,whiting,refname
4759,Cuesta Del Plomo Managua Refinery,cuesta del plomo managua,refname
4760,Somerset Oil Refinery,somerset oil,refname
4760,Somerset Oil Refinery,somersetoil,refname
4761,Premcor Lima Refinery,premcor lima,refname
4761,Premcor Lima Refinery,premcorlima,refname
4762,Pbf Toledo Refinery,pbf toledo,refname
4762,Pbf Toledo Refinery,pbftoledo,refname
4763,Toledo Refinery,toledo,refname
4764,Detroit Refinery,detroit,refname
4765,Catlettsburg Refinery,catlettsburg,refname
4766,Sarnia (Shell) - Shell's Corunna Refinery,sarnia  - shell's corunna,refname
4767,Sarnia (Suncor),sarnia,refname
4768,Sarnia (Imperial Oil),sarnia,refname
4769,Refineria Nico Lopez,nico lopez,refname
4769,Refineria Nico Lopez,nicolopez,refname
4770,Canton Refinery,canton,refname
4771,La Refineria De Talara,la de talara,refname
4771,La Refineria De Talara,ladetalara,refname
4771,La Refineria De Talara,lade,refname
4772,Savannah Citgo Asphalt Refinery,savannah citgo asphalt,refname
4772,Savannah Citgo Asphalt Refinery,savannahcitgoasphalt,refname
4772,Savannah Citgo Asphalt Refinery,savannahcitgo,refname
4773,Nustar Savannah Refinery,nustar savannah,refname
4773,Nustar Savannah Refinery,nustarsavannah,refname
4774,Phillips 66 Savannah North Refinery,phillips 66 savannah north,refname
4775,Phillips 66 Savannah South Refinery,phillips 66 savannah south,refname
4776,Refineria La Libertad,la libertad,refname
4776,Refineria La Libertad,lalibertad,refname
4777,Newell Refinery,newell,refname
4778,Nanticoke Refinery,nanticoke,refname
4779,Petroecuador - Esmeraldas,petroecuador - esmeraldas,refname
4779,Petroecuador - Esmeraldas,petroecuador-esmeraldas,refname
4779,Petroecuador - Esmeraldas,petroecuador-,refname
4780,Clarkson Refinery,clarkson,refname
4781,Warren Refinery,warren,refname
4782,Refineria El Milagro (Petroperu),el milagro,refname
4782,Refineria El Milagro (Petroperu),elmilagro,refname
4783,Bradford Oil Refinery,bradford oil,refname
4783,Bradford Oil Refinery,bradfordoil,refname
4784,Refineria La Pampilla,la pampilla,refname
4784,Refineria La Pampilla,lapampilla,refname
4785,Refineria Conchan,conchan,refname
4786,Orito Oil Refinery,orito oil,refname
4786,Orito Oil Refinery,oritooil,refname
4787,Kinsgton Refinery,kinsgton,refname
4788,Amazonas Shushufindi Refinery,amazonas shushufindi,refname
4788,Amazonas Shushufindi Refinery,amazonasshushufindi,refname
4789,Yorktown Oil Refinery,yorktown oil,refname
4789,Yorktown Oil Refinery,yorktownoil,refname
4790,Delaware Refinery (Pbf Energy),delaware,refname
4791,Marcus Hook Refinery,marcus hook,refname
4791,Marcus Hook Refinery,marcushook,refname
4792,Trainer Refinery,trainer,refname
4793,Paulsboro Refinery (Pbf),paulsboro,refname
4794,Paulsboro Refinery (Nustar),paulsboro,refname
4795,Minatitlan(Refineria General Lazaro Cardenas Del Rio),minatitlan,refname
4796,Philadelphia Refinery (Pes),philadelphia,refname
4797,Philadelphia Eagle Point Refinery,philadelphia eagle point,refname
4797,Philadelphia Eagle Point Refinery,philadelphiaeaglepoint,refname
4797,Philadelphia Eagle Point Refinery,philadelphiaeagle,refname
4798,Refinery Of Pucallpa,of pucallpa,refname
4798,Refinery Of Pucallpa,ofpucallpa,refname
4799,New York Perth Amboy Refinery Terminal,new york perth amboy terminal,refname
4800,Bayway Refinery,bayway,refname
4801,Barrancabaermeja Santander Refinery,barrancabaermeja santander,refname
4801,Barrancabaermeja Santander Refinery,barrancabaermejasantander,refname
4802,Montreal Refinery,montreal,refname
4803,Apiay Oil Refinery,apiay oil,refname
4803,Apiay Oil Refinery,apiayoil,refname
4804,Refineria Iquitos-Loreto,iquitos-loreto,refname
4805,Biobio Refinery,biobio,refname
4806,Tibu Refinery (Ecopetrol),tibu,refname
4807,Centro De Refinacion De Paraguana (Bajo Grande Refinery),centro de de paraguana,refname
4809,Aconcagua Concon Refinery,aconcagua concon,refname
4809,Aconcagua Concon Refinery,aconcaguaconcon,refname
4810,Jean Gaulin Refinery (Or Quebec City Refinery),jean gaulin,refname
4810,Jean Gaulin Refinery (Or Quebec City Refinery),jeangaulin,refname
4811,Cartagena Refinery,cartagena,refname
4812,Gregorio Refinery,gregorio,refname
4813,Citgo Aruba Refinery,citgo aruba,refname
4813,Citgo Aruba Refinery,citgoaruba,refname
4814,Plaza Huincul Refinery,plaza huincul,refname
4814,Plaza Huincul Refinery,plazahuincul,refname
4815,Lujan De Cuyo Refinery,lujan de cuyo,refname
4815,Lujan De Cuyo Refinery,lujandecuyo,refname
4815,Lujan De Cuyo Refinery,lujande,refname
4816,Gualberto Villarroel Cochabamba Refinery,gualberto villarroel cochabamba,refname
4816,Gualberto Villarroel Cochabamba Refinery,gualbertovillarroelcochabamba,refname
4816,Gualberto Villarroel Cochabamba Refinery,gualbertovillarroel,refname
4817,Saint John Refinery,saint john,refname
4817,Saint John Refinery,saintjohn,refname
4819,Carlos Montenegro Sucre Refinery,carlos montenegro sucre,refname
4819,Carlos Montenegro Sucre Refinery,carlosmontenegrosucre,refname
4819,Carlos Montenegro Sucre Refinery,carlosmontenegro,refname
4820,Petrocedeno,petrocedeno,refname
4821,Puerto La Cruz Refinery,puerto la cruz,refname
4821,Puerto La Cruz Refinery,puertolacruz,refname
4821,Puerto La Cruz Refinery,puertola,refname
4822,Jose Antonio Anzotegui Complex,jose antonio anzotegui complex,refname
4823,Hovensa Refinery (St.Croix),hovensa,refname
4824,Campo Duran Refinor Refinery,campo duran,refname
4824,Campo Duran Refinor Refinery,campoduran,refname
4825,Dartmouth Refinery,dartmouth,refname
4826,Guillermo Elder Bell Santa Cruz Refinery,guillermo elder bell santa cruz,refname
4827,Cangrejales Floating Refinery,cangrejales floating,refname
4827,Cangrejales Floating Refinery,cangrejalesfloating,refname
4828,Bahia Blanca Refinery,bahia blanca,refname
4828,Bahia Blanca Refinery,bahiablanca,refname
4829,Duperial Refinery,duperial,refname
4830,Reman (Isaac Sabbá) Refinery,reman,refname
4831,Muelle Sol Petroleo,muelle sol petroleo,refname
4831,Muelle Sol Petroleo,muellesolpetroleo,refname
4831,Muelle Sol Petroleo,muellesol,refname
4832,Villa Elisa refinery,villa elisa,refname
4832,Villa Elisa refinery,villaelisa,refname
4833,La Teja Montevideo Refinery,la teja montevideo,refname
4833,La Teja Montevideo Refinery,latejamontevideo,refname
4833,La Teja Montevideo Refinery,lateja,refname
4834,Staatsolie Refinery,staatsolie,refname
4835,Come By Chance Refinery (Or North Atlantic Refinery),come by chance,refname
4835,Come By Chance Refinery (Or North Atlantic Refinery),comebychance,refname
4835,Come By Chance Refinery (Or North Atlantic Refinery),comeby,refname
4836,Ipiranga Refinery,ipiranga,refname
4837,Alberto Pasqualini Refap Refinery,alberto pasqualini refap,refname
4837,Alberto Pasqualini Refap Refinery,albertopasqualinirefap,refname
4837,Alberto Pasqualini Refap Refinery,albertopasqualini,refname
4838,Refineria De Petroleo Hermanos Diaz,de petroleo hermanos diaz,refname
4839,Presidente Getulio Vargas Refinery (Repar),presidente getulio vargas,refname
4839,Presidente Getulio Vargas Refinery (Repar),presidentegetuliovargas,refname
4839,Presidente Getulio Vargas Refinery (Repar),presidentegetulio,refname
4840,Paulinia Refinery (Replan),paulinia,refname
4841,Capuava Recap Refinery,capuava recap,refname
4841,Capuava Recap Refinery,capuavarecap,refname
4842,Presidente Bernardes Refinery (RPBC),presidente bernardes,refname
4842,Presidente Bernardes Refinery (RPBC),presidentebernardes,refname
4843,Henrique Lage Refinery,henrique lage,refname
4843,Henrique Lage Refinery,henriquelage,refname
4844,Gabriel Passos Refinery (Regap),gabriel passos,refname
4844,Gabriel Passos Refinery (Regap),gabrielpassos,refname
4845,Duque De Caxias Refinery (Reduc),duque de caxias,refname
4845,Duque De Caxias Refinery (Reduc),duquedecaxias,refname
4845,Duque De Caxias Refinery (Reduc),duquede,refname
4846,Manguinhos Refinery,manguinhos,refname
4847,Landulpho Alves Refinery (Rlam),landulpho alves,refname
4847,Landulpho Alves Refinery (Rlam),landulphoalves,refname
4848,Petrobras Lubnor,petrobras lubnor,refname
4848,Petrobras Lubnor,petrobraslubnor,refname
4849,Abreu E Lima Refinery (Rnest),abreu e lima,refname
4849,Abreu E Lima Refinery (Rnest),abreuelima,refname
4849,Abreu E Lima Refinery (Rnest),abreue,refname
4850,Mbao Oil Refinery,mbao oil,refname
4850,Mbao Oil Refinery,mbaooil,refname
4851,Somir Refinery,somir,refname
4852,Tenerife Refinery,tenerife,refname
4853,Freetown Refinery,freetown,refname
4854,Sines Refinery,sines,refname
4855,Matosinhos Refinery,matosinhos,refname
4857,La Coruna Refinery,la coruna,refname
4857,La Coruna Refinery,lacoruna,refname
4859,Whitegate Refinery,whitegate,refname
4860,San Cibrao Alumina Refinery,san cibrao alumina,refname
4860,San Cibrao Alumina Refinery,sancibraoalumina,refname
4860,San Cibrao Alumina Refinery,sancibrao,refname
4861,Samir Mohammedia Refinery,samir mohammedia,refname
4861,Samir Mohammedia Refinery,samirmohammedia,refname
4862,Huelva Refinery (La Rabida),huelva,refname
4863,La Rabida Refinery,la rabida,refname
4863,La Rabida Refinery,larabida,refname
4864,Cepsa Refinery (Algeciras),cepsa,refname
4865,Pembroke Refinery,pembroke,refname
4866,Puertollano Refinery,puertollano,refname
4867,Abidjan Refinery,abidjan,refname
4868,Grangemouth Refinery,grangemouth,refname
4869,Bilbao (Muskiz) Refinery,bilbao,refname
4870,Nynas Dundee Refinery,nynas dundee,refname
4870,Nynas Dundee Refinery,nynasdundee,refname
4871,Stanlow Refinery (Essar Oil Ltd),stanlow,refname
4872,Donges Refinery,donges,refname
4873,Fawley Refinery,fawley,refname
4874,Repsol Ypf Cartagena Refinery,repsol ypf cartagena,refname
4874,Repsol Ypf Cartagena Refinery,repsolypfcartagena,refname
4874,Repsol Ypf Cartagena Refinery,repsolypf,refname
4875,Arzew Refinery (RA1.Z),arzew,refname
4876,Lindsey Oil Refinery,lindsey oil,refname
4876,Lindsey Oil Refinery,lindseyoil,refname
4877,Humber Refinery,humber,refname
4878,Castellon Refinery,castellon,refname
4879,Mont Belvieu Gas Processing Plants,mont belvieu gas processing plants,refname
4880,Tema Oil Refinery,tema oil,refname
4880,Tema Oil Refinery,temaoil,refname
4881,Gonfreville L'orcher Refinery (Or Normandy Refinery),gonfreville l'orcher,refname
4881,Gonfreville L'orcher Refinery (Or Normandy Refinery),gonfrevillel'orcher,refname
4882,Port-Jerome-Gravenchon Refinery,port-jerome-gravenchon,refname
4883,Repsol Ypf Tarragona Refinery,repsol ypf tarragona,refname
4883,Repsol Ypf Tarragona Refinery,repsolypftarragona,refname
4883,Repsol Ypf Tarragona Refinery,repsolypf,refname
4884,Flandres Refinery,flandres,refname
4885,Dunkirk Refinery,dunkirk,refname
4886,Grandpuits Refinery,grandpuits,refname
4887,Alger Refinery  (RA1.G),alger,refname
4888,El Harrach Refinery,el harrach,refname
4888,El Harrach Refinery,elharrach,refname
4889,Zeeland Refinery,zeeland,refname
4890,Bp Rotterdam Refinery,bp rotterdam,refname
4890,Bp Rotterdam Refinery,bprotterdam,refname
4891,(Europoort) Rozenburg Refinery,rozenburg,refname
4892,VPR Energy BV Refinery,vpr energy bv,refname
4892,VPR Energy BV Refinery,vprenergybv,refname
4892,VPR Energy BV Refinery,vprenergy,refname
4893,Antwerp Refinery (Gunvor),antwerp,refname
4894,Independent Belgian Refinery Ibr - Gunvor,independent belgian ibr - gunvor,refname
4895,Rotterdam Refinery (Esso),rotterdam,refname
4896,Antwerp Refinery (Total),antwerp,refname
4897,Antwerp Refinery (Exxon),antwerp,refname
4898,Shell Pernis Refinery,shell pernis,refname
4898,Shell Pernis Refinery,shellpernis,refname
4899,Feyzin Refinery,feyzin,refname
4900,Fos-sur-Mer Refinery,fos-sur-mer,refname
4901,Lavera Marseilles Refinery,lavera marseilles,refname
4901,Lavera Marseilles Refinery,laveramarseilles,refname
4902,Salina Cruz Refinery,salina cruz,refname
4902,Salina Cruz Refinery,salinacruz,refname
4903,La Mede Refinery (Provence),la mede,refname
4903,La Mede Refinery (Provence),lamede,refname
4904,Warri (WRPC),warri,refname
