GeoAssetID,GeoAssetName,Latitude,Longitude,CapacityMillionTonnesPerAnnum,CapacityKiloBarrelsPerDay,City,FromDate,ToDate
4738,Vicksburg Refinery,32.386262,-90.908069,1.30,30.00,Vicksburg,2017-01-01,
4739,Convent Refinery,30.11246,-90.89393,11.20,227.00,Convent,1967-01-01,
4740,Garyville Refinery,30.06241,-90.59927,21.50,436.00,Garyville,1976-01-01,2010-12-31
4740,Garyville Refinery,30.06241,-90.59927,23.00,464.00,Garyville,2011-01-01,2011-12-31
4740,Garyville Refinery,30.06241,-90.59927,25.50,490.00,Garyville,2012-01-01,2012-12-31
4740,Garyville Refinery,30.06241,-90.59927,26.00,522.00,Garyville,2013-01-01,2017-12-31
4740,Garyville Refinery,30.06241,-90.59927,28.00,545.00,Garyville,2018-01-01,2018-12-31
4740,Garyville Refinery,30.06241,-90.59927,29.50,578.00,Garyville,2019-01-01,
4741,Norco Refinery,30.002651,-90.401941,11.10,229.00,Norco,1920-01-01,
4742,Saint Charles Refinery,29.99207,-90.39671,9.50,190.00,Norco,1930-01-01,2014-12-31
4742,Saint Charles Refinery,29.99207,-90.39671,10.75,215.00,Norco,2015-01-01,
4743,Wood River Refinery,38.838042,-90.08503,15.60,362.00,Wood River,1918-01-01,2011-12-31
4743,Wood River Refinery,38.838042,-90.08503,16.60,333.00,Wood River,2012-01-01,2015-12-31
4743,Wood River Refinery,38.838042,-90.08503,15.60,370.00,Wood River,2016-01-01,
4744,Memphis Refinery (Premcor),35.08476,-90.083071,9.00,180.00,Memphis,1941-01-01,
4745,Alliance Refinery (Or Belle Chasse),29.684407,-89.976426,12.20,247.00,Belle Chasse,1971-01-01,2017-12-31
4745,Alliance Refinery (Or Belle Chasse),29.684407,-89.976426,12.20,240.00,Belle Chasse,2018-01-01,2018-12-31
4745,Alliance Refinery (Or Belle Chasse),29.684407,-89.976426,12.20,245.00,Belle Chasse,2019-01-01,
4746,Chalmette Refinery,29.93417,-89.97273,9.40,190.00,Chalmette,1915-01-01,
4747,Meraux Refinery,29.935334,-89.940257,6.00,120.00,Meraux,1961-01-01,2010-12-31
4747,Meraux Refinery,29.935334,-89.940257,6.20,125.00,Meraux,2011-01-01,
4748,Refineria Petrolera Acajutla R.a.s.a,13.568353,-89.828648,1.25,25.00,Acajutla,1963-01-01,2012-08-31
4749,Sandersville - Hunt Southland Refinery,31.817344,-89.008469,0.65,11.00,Sandersville,1900-01-01,
4750,Pascagoula Refinery,30.34499,-88.48689,16.80,330.00,Pascagoula,1963-01-01,2017-12-31
4750,Pascagoula Refinery,30.34499,-88.48689,17.30,350.00,Pascagoula,2018-01-01,
4751,Joliet Refinery,41.418581,-88.186812,11.80,238.00,Joliet,1972-01-01,
4752,Saraland Refinery,30.790468,-88.058567,4.20,80.00,Saraland,1975-01-01,2015-12-31
4752,Saraland Refinery,30.790468,-88.058567,4.70,92.00,Saraland,2016-01-01,
4753,Lemont Refinery,41.650836,-88.044533,8.30,167.00,Lemont,1925-01-01,2012-12-31
4753,Lemont Refinery,41.650836,-88.044533,9.00,170.00,Lemont,2013-01-01,
4754,Puerto Cortes Texaco Refinery,15.85012,-87.95905,,,,,
4755,Countrymark Refinery (Mount Vernon),37.905746,-87.928899,1.40,26.50,Mount Vernon,1940-01-01,2016-12-31
4755,Countrymark Refinery (Mount Vernon),37.905746,-87.928899,1.45,30.80,Mount Vernon,2017-01-01,
4756,Robinson Refinery,38.995414,-87.720094,10.20,206.00,Robinson,1906-01-01,2013-12-31
