id,initial,match,type
5104,Bosicor Pakistan,bosicorpakistan,ownername
5107,Bosicor Pakistan,bosicor pakistan,ownername
5107,Bosicor Pakistan,bosicorpakistan,ownername
5192,BP,bp,ownername
4913,BP,bp,ownername
5013,BP,bp,ownername
5024,BP,bp,ownername
4632,BP,bp,ownername
4627,BP,bp,ownername
4758,BP,bp,ownername
4763,BP,bp,ownername
4878,BP,bp,ownername
4890,BP,bp,ownername
4911,BP,bp,ownername
5264,BP,bp,ownername
9704,Buckeye Partners,buckeye partners,ownername
9704,Buckeye Partners,buckeyepartners,ownername
4799,Buckeye Partners,buckeye partners,ownername
4799,Buckeye Partners,buckeyepartners,ownername
4727,Calcasieu Refining Company,calcasieu refining company,ownername
4727,Calcasieu Refining Company,calcasieurefiningcompany,ownername
4727,Calcasieu Refining Company,calcasieurefining,ownername
16059,California Resources Corporation,california resources corporation,ownername
16059,California Resources Corporation,californiaresourcescorporation,ownername
16059,California Resources Corporation,californiaresources,ownername
5265,Caltex Australia,caltex australia,ownername
5265,Caltex Australia,caltexaustralia,ownername
4723,Calumet,calumet,ownername
4724,Calumet,calumet,ownername
4725,Calumet,calumet,ownername
4734,Calumet,calumet,ownername
4663,Calumet,calumet,ownername
4689,Calumet,calumet,ownername
4796,Carlyle Group,carlyle group,ownername
4796,Carlyle Group,carlylegroup,ownername
4684,Cenovus,cenovus,ownername
4743,Cenovus,cenovus,ownername
4852,Cepsa,cepsa,ownername
4862,Cepsa,cepsa,ownername
4863,Cepsa,cepsa,ownername
4864,Cepsa,cepsa,ownername
15989,Cepsa,cepsa,ownername
5131,Ceylon Petroleum Corporation,ceylon petroleum corporation,ownername
5131,Ceylon Petroleum Corporation,ceylonpetroleumcorporation,ownername
5131,Ceylon Petroleum Corporation,ceylonpetroleum,ownername
9634,Chadian Ministry of Petroleum,chadian ministry of petroleum,ownername
16085,Changchun Xinda Petroleum Group,changchun xinda petroleum group,ownername
16065,Changle Huarong Industry and Trade,changle huarong industry and trade,ownername
16040,ChemChina Petrochemical,chemchina petrochemical,ownername
16040,ChemChina Petrochemical,chemchinapetrochemical,ownername
15979,ChemChina Petrochemical,chemchina petrochemical,ownername
15979,ChemChina Petrochemical,chemchinapetrochemical,ownername
16110,ChemChina Petrochemical,chemchina petrochemical,ownername
16110,ChemChina Petrochemical,chemchinapetrochemical,ownername
16093,ChemChina Petrochemical,chemchina petrochemical,ownername
16093,ChemChina Petrochemical,chemchinapetrochemical,ownername
16056,ChemChina Petrochemical,chemchina petrochemical,ownername
16056,ChemChina Petrochemical,chemchinapetrochemical,ownername
16051,ChemChina Petrochemical,chemchina petrochemical,ownername
16051,ChemChina Petrochemical,chemchinapetrochemical,ownername
16052,ChemChina Petrochemical,chemchina petrochemical,ownername
16052,ChemChina Petrochemical,chemchinapetrochemical,ownername
16138,ChemChina Petrochemical,chemchina petrochemical,ownername
16138,ChemChina Petrochemical,chemchinapetrochemical,ownername
16126,ChemChina Petrochemical,chemchina petrochemical,ownername
16126,ChemChina Petrochemical,chemchinapetrochemical,ownername
16112,ChemChina Petrochemical,chemchina petrochemical,ownername
16112,ChemChina Petrochemical,chemchinapetrochemical,ownername
16165,ChemChina Petrochemical,chemchina petrochemical,ownername
16165,ChemChina Petrochemical,chemchinapetrochemical,ownername
16160,ChemChina Petrochemical,chemchina petrochemical,ownername
16160,ChemChina Petrochemical,chemchinapetrochemical,ownername
16148,ChemChina Petrochemical,chemchina petrochemical,ownername
16148,ChemChina Petrochemical,chemchinapetrochemical,ownername
16149,ChemChina Petrochemical,chemchina petrochemical,ownername
16149,ChemChina Petrochemical,chemchinapetrochemical,ownername
16078,Chengdu Road & Bridge Engineering,chengdu road & bridge engineering,ownername
5134,Chennai Petroleum Corporation,chennai petroleum corporation,ownername
5134,Chennai Petroleum Corporation,chennaipetroleumcorporation,ownername
5134,Chennai Petroleum Corporation,chennaipetroleum,ownername
5130,Chennai Petroleum Corporation,chennai petroleum corporation,ownername
5130,Chennai Petroleum Corporation,chennaipetroleumcorporation,ownername
5130,Chennai Petroleum Corporation,chennaipetroleum,ownername
5159,ChevTex,chevtex,ownername
5199,ChevTex,chevtex,ownername
4750,ChevTex,chevtex,ownername
4754,ChevTex,chevtex,ownername
4730,ChevTex,chevtex,ownername
4658,ChevTex,chevtex,ownername
4631,ChevTex,chevtex,ownername
4637,ChevTex,chevtex,ownername
4646,ChevTex,chevtex,ownername
9716,ChevTex,chevtex,ownername
5159,Chevron,chevron,ownername
5199,Chevron,chevron,ownername
4750,Chevron,chevron,ownername
4754,Chevron,chevron,ownername
4730,Chevron,chevron,ownername
4658,Chevron,chevron,ownername
4631,Chevron,chevron,ownername
4637,Chevron,chevron,ownername
4646,Chevron,chevron,ownername
9716,Chevron,chevron,ownername
16055,China North Industries Corporation,china north industries corporation,ownername
16078,China Offshore Oil & Gas Development & Utilization,china offshore oil & gas development & utilization,ownername
16047,China Offshore Oil & Gas Development & Utilization,china offshore oil & gas development & utilization,ownername
4666,CHS,chs,ownername
4692,CHS,chs,ownername
4726,Citgo,citgo,ownername
4697,Citgo,citgo,ownername
4753,Citgo,citgo,ownername
4772,Citgo,citgo,ownername
4813,Citgo,citgo,ownername
5191,CNOOC,cnooc,ownername
9652,CNOOC,cnooc,ownername
9655,CNOOC,cnooc,ownername
9720,CNOOC,cnooc,ownername
15979,CNOOC,cnooc,ownername
16128,CNOOC,cnooc,ownername
16135,CNOOC,cnooc,ownername
16144,CNOOC,cnooc,ownername
16146,CNOOC Hainan Gas,cnooc hainan gas,ownername
16146,CNOOC Hainan Gas,cnoochainangas,ownername
16146,CNOOC Hainan Gas,cnoochainan,ownername
16136,CNPC,cnpc,ownername
16147,CNPC,cnpc,ownername
16150,CNPC,cnpc,ownername
16156,CNPC,cnpc,ownername
16166,CNPC,cnpc,ownername
16169,CNPC,cnpc,ownername
16038,CNPC,cnpc,ownername
16084,CNPC,cnpc,ownername
16088,CNPC,cnpc,ownername
9634,CNPC,cnpc,ownername
9622,CNPC,cnpc,ownername
5020,CNPC,cnpc,ownername
5017,CNPC,cnpc,ownername
5010,CNPC,cnpc,ownername
5031,CNPC,cnpc,ownername
4917,CNPC,cnpc,ownername
4885,Colas Group,colas group,ownername
4885,Colas Group,colasgroup,ownername
4859,ConocoPhillips,conocophillips,ownername
4760,Continental Refining,continental refining,ownername
4760,Continental Refining,continentalrefining,ownername
4938,CORAF,coraf,ownername
5081,Cosmo Oil,cosmo oil,ownername
5081,Cosmo Oil,cosmooil,ownername
